Date,Close,High,Low,Open,Volume
,VNQ,VNQ,VNQ,VNQ,VNQ
2016-01-07,53.257713317871094,53.881799388454006,53.203443613791585,53.65794074070889,6297500
2016-01-08,52.54546356201172,53.65796716631098,52.45727913103611,53.61726745592937,4628600
2016-01-11,52.84394073486328,53.15598391691494,52.57259726229123,52.592947117031045,4956800
2016-01-12,52.491188049316406,53.18989911173162,52.21984977606501,53.12205936797295,5951900
2016-01-13,51.738216400146484,53.04744385309683,51.622897107637755,52.66078109110871,7679400
2016-01-14,51.61610412597656,52.08417140915328,51.22944142370527,51.670373846580176,5167500
2016-01-15,51.263362884521484,51.39225218109535,50.5714420394022,50.97166959652758,5571400
2016-01-19,51.53470993041992,51.93493751558044,51.26336647541577,51.50079005775218,4978100
2016-01-20,50.150875091552734,51.08022496758824,49.065506184598945,50.94455061956452,9091600
2016-01-21,50.428977966308594,51.1412537716635,49.981265738286005,50.388278266155204,6849300
2016-01-22,51.83319091796875,52.02990962814602,50.836006645353194,50.917406063234495,4542700
2016-01-25,51.507564544677734,52.280889869413805,51.37189543261505,51.72463822924497,4670100
2016-01-26,52.58616256713867,52.60651759750287,51.64324800267043,51.74500245270617,5214000
2016-01-27,51.568634033203125,52.51833371120962,51.2430259681675,52.51833371120962,4883200
2016-01-28,51.17517852783203,52.05703822655721,50.978454665887924,51.867099373768575,5584400
2016-01-29,52.22663497924805,52.28090470965586,51.100566538240905,51.48722931036544,11112200
2016-02-01,52.3148193359375,52.75574661878241,51.738212565240325,51.907801574164004,6925300
2016-02-02,51.8399772644043,52.23342508507444,51.54828390431393,52.06383604259043,6406000
2016-02-03,52.185935974121094,52.38944487817632,51.54149973702359,52.10453137740973,5729100
2016-02-04,52.21306228637695,52.4979705650247,51.67716042390395,52.152007554983534,4286700
2016-02-05,51.22267150878906,52.104531349853666,51.17518678792748,52.104531349853666,4033800
2016-02-08,49.757408142089844,50.95810107774348,48.97051792745186,50.89026134205374,5440900
2016-02-09,48.84162139892578,49.38430815131384,48.461743777520795,49.255418883146675,8405600
2016-02-10,49.180809020996094,49.84560016495866,48.96373531233503,49.160459169472475,3877700
2016-02-11,48.482112884521484,48.80772092494636,48.08866509151547,48.48889789486889,4930700
2016-02-12,49.03835678100586,49.174025913372766,48.5363747807135,48.9298173347558,5067000
2016-02-16,49.94056701660156,49.99483155938758,49.18759149634047,49.4182300356553,3888900
2016-02-17,50.36793899536133,50.937755618973476,49.98806124628657,49.98806124628657,3060900
2016-02-18,50.87669372558594,51.0123628386762,50.16441794324977,50.47646621915822,3539700
2016-02-19,51.16840744018555,51.38548121321027,50.53075096766736,50.700340014575644,2885500
2016-02-22,51.656803131103516,52.03668078124834,51.55504871040192,51.57539855945327,2966500
2016-02-23,51.52114486694336,52.131666405566676,51.43974544542454,51.60933447418399,2608300
2016-02-24,51.46009063720703,51.56862491454496,50.93097374350046,51.29728663347716,2997500
2016-02-25,52.51154327392578,52.53867296099564,51.69072791530206,51.69072791530206,3399900
2016-02-26,52.240196228027344,52.694693499124746,52.2198463764029,52.457269937763826,3180500
2016-02-29,52.03668212890625,52.76252275805658,51.955277555147774,52.18592125974099,5057700
2016-03-01,53.50194549560547,53.5087253300339,51.989209171238485,52.084178607697815,5309500
2016-03-02,53.88860321044922,53.91573807196307,53.18989734666584,53.291646608035734,3621700
2016-03-03,54.17350769042969,54.17350769042969,53.63082084913819,53.90894927854753,2907800
2016-03-04,54.18030548095703,54.22779020261384,53.786857686974045,54.085336037643415,2740000
2016-03-07,54.322750091552734,54.44485437940098,53.807198078921736,53.90216750553197,3504600
2016-03-08,53.76650619506836,54.295623127555054,53.69867161982966,54.24813840734333,2829000
2016-03-09,54.06497573852539,54.34988921615112,53.813987309415346,53.9360916068418,3566700
2016-03-10,53.8682746887207,54.546630968842926,53.271317849926625,54.43809147980848,2472500
2016-03-11,55.075740814208984,55.13000537615987,54.28884514828045,54.410949469702224,2520900
2016-03-14,55.08251953125,55.13678926754586,54.77726132161789,54.994335091354415,2593900
2016-03-15,55.109657287597656,55.22498177713204,54.736564475766045,54.85188378985325,1898100
2016-03-16,55.77442932128906,55.86261373524035,54.7568953546164,54.95361920922655,3439600
2016-03-17,56.56133270263672,56.68343701401827,55.61163825349871,55.86262671129379,5526400
2016-03-18,56.31712341308594,56.81232566322756,56.317123413085945,56.6698714975435,3281800
2016-03-21,55.8088264465332,56.398743167857766,55.71279397872474,56.22039491333762,4343000
2016-03-22,55.8088264465332,55.98031374381646,55.47956853306347,55.69907206425096,4791300
2016-03-23,55.507015228271484,55.87056751422157,55.472720903836766,55.80883459021243,2837500
